source_row,row_text,A,B,C,D
135,0x78 | Acceleration Y | Float.,0x78,Acceleration Y,Float.,
136,0x7C | Acceleration Z | Float.,0x7C,Acceleration Z,Float.,
137,0x80 | Horizontal velocity (self-induced) | Changing this will only have an effect if the character is in the air.,0x80,Horizontal velocity (self-induced),Changing this will only have an effect if the character is in the air.,
138,"0x84 | Vertical Velocity (self-induced) | Float. Positive = up, negative = down. Changes when the player jumps/falls of his own accord. Does not kill upward.",0x84,Vertical Velocity (self-induced),"Float. Positive = up, negative = down. Changes when the player jumps/falls of his own accord. Does not kill upward.",
139,0x88 | Depth velocity (self-induced) | Float. Assume unused.,0x88,Depth velocity (self-induced),Float. Assume unused.,
140,"0x8C | Horizontal velocity (attack-induced) | Float. Positive = right, negative = left.",0x8C,Horizontal velocity (attack-induced),"Float. Positive = right, negative = left.",
141,"0x90 | Vertical velocity (attack-induced) | Float. Positive = up, negative = down. Only works when player is in the air. Changes when the player is attacked. Kills upward.",0x90,Vertical velocity (attack-induced),"Float. Positive = up, negative = down. Only works when player is in the air. Changes when the player is attacked. Kills upward.",
142,0x94 | Depth velocity (attack-induced) | Float. Assume unused.,0x94,Depth velocity (attack-induced),Float. Assume unused.,
143,0x98 | Attacker shield knockback velocity X | Float. Hitting a shield induces this type of velocity on the attacker.,0x98,Attacker shield knockback velocity X,Float. Hitting a shield induces this type of velocity on the attacker.,
144,0x9C | Attacker shield knockback velocity Y | Float.,0x9C,Attacker shield knockback velocity Y,Float.,
145,0xA0 | Attacker shield knockback velocity Z | Float. Unused,0xA0,Attacker shield knockback velocity Z,Float. Unused,
146,0xA4 | Unknown velocity X,0xA4,Unknown velocity X,,
147,0xA8 | Unknown velocity Y,0xA8,Unknown velocity Y,,
148,0xAC | Unknown velocity Z,0xAC,Unknown velocity Z,,
149,"0xB0 | X (Horizontal) position | Float. Positive is right, negative is left. 00000000 is center.",0xB0,X (Horizontal) position,"Float. Positive is right, negative is left. 00000000 is center.",
150,0xB4 | Y (Vertical) position | Float.,0xB4,Y (Vertical) position,Float.,
151,0xB8 | Z (Depth) position | Float,0xB8,Z (Depth) position,Float,
152,0xBC | X (Horizonal) position (Prev. Frame) | Float,0xBC,X (Horizonal) position (Prev. Frame),Float,
